strategy,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,byte_overhead,byte_overhead_ci_low,byte_overhead_ci_high,mean_completion_ms,mean_completion_ms_ci_low,mean_completion_ms_ci_high,endpoint_risk_exposure,endpoint_risk_exposure_ci_low,endpoint_risk_exposure_ci_high,t50_event_fraction,provider_controlled_attempts,auac_text,auac_text_ci_low,auac_text_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
direct_only,20,0.2746006944444444,0.25118012152777774,0.2980312499999999,2.7,2.05,3.4,1.0000306073648975,1.0000306073648975,1.0000306073648975,1699.2077973462724,1668.8203342461932,1727.1469039059782,5068.799999999999,5068.799999999999,5068.799999999999,1.0,0,0.3602430555555555,0.3325944010416666,0.3882389322916666,0.25447048611111117,0.23051106770833332,0.277041015625,0.3364149305555556,0.3077213541666666,0.36428059895833337,0.25733506944444445,0.23402560763888888,0.2797829861111111,0.16453993055555555,0.1436577690972222,0.18502712673611107
ephemeral_only,20,0.762890625,0.7556243489583333,0.7696618923611113,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,2045.2350155039487,2042.1155504621286,2048.303385845367,460.8000000000002,460.8000000000002,460.8000000000002,0.0,0,0.8559461805555557,0.8460503472222223,0.8662326388888889,0.8527777777777779,0.8421430121527779,0.8623274739583335,0.8662326388888889,0.8559461805555555,0.8766493055555555,0.7400607638888888,0.7273860677083334,0.7514344618055556,0.49943576388888883,0.48472222222222233,0.5141503906249999
fixed_only,20,0.11162326388888888,0.10240386284722224,0.12144184027777775,1.2,0.9,1.5,1.0000306073648975,1.0000306073648975,1.0000306073648975,1779.6634077417573,1680.1904727217664,1871.2851151551947,5183.999999999998,5183.999999999998,5183.999999999998,1.0,0,0.19479166666666664,0.1778200954861111,0.21102539062499998,0.08650173611111112,0.07617078993055552,0.09739583333333333,0.14270833333333335,0.13307291666666668,0.15330403645833332,0.09084201388888888,0.07916341145833333,0.10277777777777777,0.04327256944444444,0.03576388888888889,0.051780598958333326
fso,20,0.9123177083333334,0.9067534722222224,0.9173179253472222,36.0,36.0,36.0,1.246435542835698,1.228145796776197,1.2675402320759606,2186.1648329227264,2158.2969317779603,2216.0831640879805,1665.3580000000002,1585.5349000000006,1748.2896250000003,0.0,0,0.9750434027777779,0.9710503472222223,0.9786024305555555,0.9506944444444446,0.9427083333333334,0.9584646267361112,0.9753038194444447,0.9712239583333335,0.9790375434027778,0.9003906250000002,0.8915787760416667,0.9091579861111111,0.76015625,0.7459190538194446,0.7735264756944444
fso_fixed_code,20,0.857204861111111,0.8476302083333334,0.8660429687500002,34.8,32.4,36.0,1.6492706838833093,1.6492706838833093,1.6492706838833093,2083.815674289366,2072.50013408421,2094.0136344976345,3526.5570000000007,3435.3011749999996,3612.6298,0.05,0,0.9822916666666668,0.9795138888888889,0.9847222222222222,0.8725260416666666,0.8538194444444445,0.8898893229166668,0.9490451388888888,0.9421006944444444,0.9561197916666668,0.7646267361111111,0.7473502604166666,0.7806456163194445,0.7175347222222224,0.7015603298611112,0.7326399739583334
fso_no_diversity,20,0.8882465277777778,0.8691746961805554,0.9045312499999998,34.8,32.4,36.0,1.2302635397072108,1.215662389507446,1.246286931797651,2105.938028613403,2093.845879054968,2117.447553985804,2169.0150000000003,2119.9717750000004,2207.4115250000004,0.05,0,0.9554687499999999,0.9429231770833334,0.9671006944444445,0.9221354166666667,0.9002593315972224,0.9417545572916666,0.9483506944444444,0.9266471354166667,0.9641493055555556,0.8651041666666668,0.8410568576388889,0.8852897135416667,0.7501736111111111,0.7266026475694445,0.7714854600694444
fso_no_feedback,20,0.9147569444444443,0.9091130642361114,0.9198526475694444,36.0,36.0,36.0,1.2384499731322065,1.2226254429366599,1.2538542521288325,2151.012842200459,2132.3576056662528,2171.185363409357,1826.6130000000005,1760.4551500000002,1875.9338500000006,0.0,0,0.9793402777777777,0.9762575954861109,0.9820312499999998,0.9510416666666668,0.9433582899305556,0.958203125,0.9759548611111111,0.972873263888889,0.9792100694444443,0.9021267361111113,0.893879123263889,0.9104622395833336,0.7653211805555556,0.7505197482638888,0.7779958767361111
fso_no_redundancy,20,0.7900347222222222,0.7760920138888889,0.8033012152777778,34.8,32.4,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,1957.8143876952768,1931.7471776866016,1986.6562886839513,1339.5960000000002,1164.4553,1482.7138750000004,0.05,0,0.8939670138888888,0.8818142361111111,0.9050347222222221,0.8684895833333334,0.8493033854166666,0.8863715277777778,0.8907118055555555,0.8719596354166667,0.9071625434027776,0.7634114583333333,0.7455729166666667,0.7809027777777777,0.53359375,0.5134103732638889,0.5514344618055557
fso_no_semantics,20,0.9270138888888889,0.9219175347222223,0.9314583333333333,36.0,36.0,36.0,2.000061214729795,2.000061214729795,2.000061214729795,1859.5002317903497,1852.7963680745002,1866.279546795418,2056.2250000000013,1981.7550000000008,2133.613575000001,0.0,0,0.9822048611111113,0.9792089843749999,0.984765625,0.9759548611111111,0.9720052083333334,0.9795583767361112,0.983984375,0.979296875,0.9876302083333334,0.9329427083333333,0.9268218315972222,0.938671875,0.7599826388888888,0.7436154513888888,0.7756087239583332
generated_only,20,0.80171875,0.7872823350694443,0.8150720486111112,34.8,32.4,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,1915.050619994671,1908.4567377953772,1922.1107003559205,1728.0000000000005,1728.0000000000005,1728.0000000000005,0.05,0,0.8999131944444445,0.8869791666666668,0.9115451388888889,0.87734375,0.8569878472222223,0.8959201388888888,0.9043836805555555,0.890407986111111,0.91775390625,0.7660156250000001,0.7476106770833333,0.7839431423611111,0.5609374999999999,0.5447471788194445,0.5764322916666667
performance_only,20,0.21937499999999996,0.20150933159722229,0.23810937499999998,1.85,1.45,2.251249999999993,1.0000306073648975,1.0000306073648975,1.0000306073648975,1681.0836439146951,1562.4159701807744,1789.3513948754032,5004.315999999998,4994.625625,5013.9807249999985,1.0,0,0.34270833333333334,0.31271375868055556,0.37226671006944445,0.25447048611111117,0.23003146701388885,0.27718207465277767,0.25711805555555556,0.22881835937499997,0.28502712673611114,0.16475694444444441,0.13910481770833333,0.1941438802083333,0.07782118055555555,0.06384331597222222,0.09449001736111111
random_failover,20,0.786935763888889,0.779365234375,0.7937508680555556,36.0,36.0,36.0,1.4321989862970932,1.422477671919835,1.4432467536523925,2178.553512737172,2170.357309731147,2186.2115730828737,3319.75,3296.732625,3346.200575000001,0.0,0,0.8894965277777777,0.8828982204861111,0.8965277777777777,0.8263020833333334,0.8154947916666668,0.8360677083333334,0.8883246527777777,0.8812065972222222,0.8952701822916668,0.7881076388888888,0.7780371093749999,0.7979166666666667,0.5424479166666666,0.5284700520833332,0.5559928385416666
session_failover,20,0.8960677083333332,0.8902074652777779,0.9016495225694444,36.0,36.0,36.0,1.2121587230657844,1.1988598424032892,1.2259745320238191,2192.1516697100924,2162.0664354043397,2222.5753527656757,1588.5380000000002,1482.63895,1689.8768750000002,0.0,0,0.97265625,0.969140625,0.976128472222222,0.9486979166666668,0.9417534722222223,0.9557725694444444,0.9728732638888887,0.967578125,0.9773437499999998,0.9012152777777777,0.8948784722222223,0.9078569878472222,0.6848958333333333,0.670310329861111,0.6992230902777777
