design_id,is_declared_base,cost_scale,latency_scale,burn_weight,correlation_penalty_weight,scheduler_correlation_weight,outcome_correlation_weight,survival_prior_logit_shift,latency_prior_scale,primary_auac,comparison_auac,mean_difference,difference_ci_low,difference_ci_high,primary_byte_overhead,comparison_byte_overhead,byte_overhead_difference,seed_ordering_fraction,difference_text,difference_presence,difference_media,difference_file,difference_realtime
design-base,1,1.0,1.0,0.16,0.1,0.35,0.35,0.0,1.0,0.9147569444444443,0.9145746527777778,0.0001822916666666563,-0.0006423611111111339,0.0011371527777777612,1.2384499731322065,1.2407417410595676,-0.002291767927361077,0.45,0.0023003472222221655,-0.0007378472222219212,0.0010416666666668295,0.0021701388888889506,-0.0038628472222221877
design-0000,0,0.8198900601994938,0.9815384196629697,0.1895604278897176,0.09780962440816654,0.2642106584866558,0.533836426877845,-0.46804643456332634,1.0244140937982844,0.9169270833333334,0.8915364583333332,0.02539062500000001,0.016344835069444463,0.035417317708333326,1.2374593554718634,1.239101263350869,-0.001641907879005533,0.8,0.02391493055555549,0.006119791666666652,0.020703125000000044,0.035243055555555514,0.04097222222222208
design-0001,0,0.5479228343947212,1.4214973870902554,0.2340305556861858,0.15547409491048259,0.6880223292617291,0.17460397741325198,0.2980924343007961,1.0849600574146259,0.9143836805555556,0.9185503472222223,-0.004166666666666668,-0.0089845920138889,0.0026579861111110945,1.2382229978678463,1.2387931422365697,-0.0005701443687233798,0.2,0.0010416666666668295,-0.01931423611111127,0.0021701388888886175,0.0029947916666666075,-0.007725694444444375
design-0002,0,0.5714931235330324,0.7564525928261173,0.2489422327023013,0.026312691173676957,0.14119066303114303,0.41877802443342615,0.6277033104903715,1.0545876736588944,0.9105989583333335,0.9148958333333332,-0.0042968750000000056,-0.007847873263888899,-0.0009372829861111036,1.2407136249269355,1.2380130653196237,0.0027005596073117477,0.1,-0.002907986111110983,-0.005468750000000133,-0.003776041666666563,-0.00455729166666663,-0.00477430555555558
design-0003,0,0.6372947211828998,0.6375298335702325,0.20131554609290947,0.014830565025875887,0.08546585730281875,0.07614117251340118,0.6478254767462326,0.9142486218355691,0.9112065972222222,0.9155902777777778,-0.004383680555555547,-0.008316189236111111,-0.0012408854166666636,1.2400226130838514,1.2373719541420902,0.002650658941761197,0.3,-0.0014322916666664742,-0.00125868055555578,-0.0023437500000002,-0.005729166666666785,-0.011154513888888884
design-0004,0,0.8557046927346834,1.1488998427868566,0.22560488846468618,0.13395281467288242,0.14946490674507132,0.3430054755478703,0.4733182248125931,1.2109769642144919,0.9123958333333333,0.9135850694444443,-0.0011892361111111084,-0.0033166232638888963,0.0003908420138888934,1.242421198356714,1.241283533164621,0.001137665192092907,0.4,0.0023003472222221655,-0.0003906250000000888,-0.003602430555555536,-0.002907986111111316,-0.0013454861111110716
design-0005,0,1.9996845964781504,0.8249301173978743,0.06589221759984322,0.07731468585785418,0.46605514693761524,0.39096137559190675,-0.5861679460754791,1.3404826452029415,0.9123437499999998,0.9119791666666666,0.00036458333333335146,-0.0004079861111110916,0.0013543836805555824,1.2403672406543917,1.240149981169297,0.0002172594850946563,0.5,0.0024305555555559355,-0.0013454861111112937,0.0013454861111111827,0.0019965277777780344,-0.0026041666666666297
design-0006,0,0.7459854546428027,0.624022644841944,0.13281336275868674,0.053377748080716686,0.55044807134702,0.19841774222170405,0.046671000295829046,0.9238570610180558,0.9162934027777778,0.9166666666666666,-0.0003732638888888862,-0.0035937499999999954,0.0038114149305555644,1.2372681483806263,1.2376216411937406,-0.0003534928131143644,0.35,0.0017361111111112715,0.00043402777777790114,-4.340277777792334e-05,0.0038628472222219656,-0.007855902777777812
design-0007,0,1.0007094517977735,0.5777685882203145,0.04240617870484111,0.12730510693089306,0.3393207192607609,0.23901511453780977,0.14512377168483792,0.8137309899599249,0.9146267361111111,0.9147482638888889,-0.00012152777777778568,-0.0013370225694444534,0.0011545138888888863,1.2390579128805994,1.2380402666520538,0.00101764622854561,0.25,0.0003906250000000888,0.0006510416666666297,-0.001258680555555558,0.00043402777777756807,-0.0008246527777775459
design-0008,0,0.6226686353278018,1.7390382252036878,0.07397007305089168,0.1095124253908222,0.5136133908635135,0.6685659890708242,0.45770826939694453,1.255719731281085,0.9160590277777777,0.8851996527777777,0.030859375,0.023956163194444453,0.03838693576388887,1.2375340058252298,1.2354649451020245,0.0020690607232052294,1.0,0.008854166666666496,-0.003906249999999889,0.00798611111111125,0.013281250000000022,0.12808159722222223
design-0009,0,1.3882322938650251,1.632984419501752,0.019543012857792322,0.0033778039992337673,0.4829238113464378,0.3110716570363716,-0.3709041073550654,0.6532197932453856,0.9163715277777778,0.9169097222222222,-0.0005381944444444342,-0.0011373697916666665,-3.4722222222210994e-05,1.2411695555024178,1.2401069278388863,0.0010626276635314902,0.25,2.220446049250313e-16,0.00021701388888895057,0.0011718750000000444,-0.00017361111111113825,-0.00390625
design-0010,0,0.9977019184805936,0.7286666189038381,0.1449876896020539,0.08834982038737806,0.4102192757954481,0.6264990629895527,0.5636045519310058,1.13894391387429,0.9135416666666668,0.9141927083333334,-0.0006510416666666519,-0.002456597222222212,0.0015199652777777883,1.2388771261424625,1.2347082506708644,0.004168875471598055,0.55,-0.0007812499999999556,-0.0006076388888889284,-0.0028645833333335036,-0.0027343750000000666,0.0037326388888888618
design-0011,0,1.5712124952419162,0.5430466933163118,0.08489474196905603,0.06173898211900424,0.648690546109093,0.6087342120773308,-0.42375814019865365,0.858180559940886,0.9169097222222222,0.9164496527777779,0.0004600694444444386,0.00012152777777778012,0.0008940972222222125,1.2385826950820982,1.2392532028136458,-0.0006705077315476426,0.55,0.0004774305555554914,0.00021701388888872852,0.0005208333333333037,0.0007378472222221433,0.0003472222222222765
design-0012,0,0.7583787707796137,0.9281501488354874,0.03317087473508862,0.12199293048369547,0.5642893875681795,0.09207921680825056,-0.05921872523921157,0.9729459515546084,0.9162326388888887,0.9159114583333332,0.00032118055555556136,-0.0047573784722222115,0.006824435763888887,1.2400499463308359,1.2408049805050747,-0.0007550341742388333,0.2,0.0024305555555551583,0.0014756944444443976,0.0037326388888889728,0.001953125,-0.007986111111111027
design-0013,0,0.894481108941588,1.5467739400284335,0.15097757019943833,0.17196691576102963,0.3778950997869949,0.2672006298278507,0.2540430976639765,1.0083321401702157,0.913263888888889,0.9144010416666667,-0.001137152777777778,-0.0026475694444444363,0.0002864583333333339,1.2385028497462671,1.2392400709057338,-0.0007372211594667277,0.5,0.0015190972222222099,0.00026041666666654084,-0.0019965277777777013,-0.002647569444444331,-0.0028211805555555802
design-0014,0,0.5136311283233351,1.7995656842739811,0.3085224902607341,0.04760371754812685,0.18873231817463904,0.5894886028172645,-0.11909233053087942,1.2457944976440438,0.9158506944444443,0.8921440972222221,0.023706597222222226,0.013809678819444443,0.03405403645833332,1.236794966058239,1.2391012617567352,-0.0023062956984962746,0.75,0.025130208333333237,-0.0007812500000001776,0.019531249999999778,0.03328993055555529,0.04136284722222239
design-0015,0,0.6985052617741879,1.4059164611506576,0.16882144531832713,0.17703614142256863,0.62622787471133,0.5056358521392827,-0.29491187940397473,1.4244503118810625,0.9150868055555558,0.8984722222222221,0.01661458333333335,0.008062934027777795,0.02614670138888891,1.2363134904883364,1.2399232472501196,-0.0036097567617832116,0.75,0.02235243055555569,-0.007161458333333592,0.0171440972222221,0.025694444444444464,0.025043402777777724
design-0016,0,1.07263250611783,1.2115029101866923,0.11900460348040443,0.16136050432087903,0.004667785983406649,0.4319914132384831,0.089127281636325,0.7218306260068255,0.9159635416666667,0.9158680555555556,9.548611111111494e-05,-0.0009288194444444453,0.0010332031250000102,1.239227723610447,1.2402398472952867,-0.0010121236848397164,0.4,-0.00017361111111102723,4.340277777781232e-05,-8.680555555551361e-05,0.0001302083333332149,0.0005642361111112271
design-0017,0,1.6011366639596274,0.6918105218598171,0.2778751176564705,0.1997921788438318,0.05113216836560886,0.5613406136658415,0.3747317752051913,1.3826017888638367,0.9105902777777777,0.9126562500000002,-0.0020659722222222065,-0.00578168402777776,0.001033203125000016,1.242120102987672,1.2382891411937405,0.0038309617939316087,0.55,-0.0024305555555557135,8.680555555551361e-05,-0.004644097222222365,-0.004600694444444886,0.001258680555555558
design-0018,0,1.1642569733450623,1.0016780740978064,0.2800734970601963,0.18444796786350434,0.594177683292618,0.4761986535238707,-0.05286825077019963,0.822150796267547,0.9149045138888889,0.9157378472222224,-0.0008333333333333304,-0.0035941840277777955,0.001727647569444447,1.2399879911924117,1.239219608606993,0.0007683825854185589,0.4,0.0006510416666666297,-0.0003472222222222765,-0.0023003472222221655,-0.0005208333333334147,-0.0016493055555555358
design-0019,0,1.8765050994334698,0.5159670907284175,0.29481366770615075,0.019045801175507894,0.22363779484436527,0.1433814935849182,-0.18991788027766077,0.7749138700623528,0.9133767361111114,0.9158940972222223,-0.002517361111111116,-0.006138237847222233,0.0009377170138889063,1.2396696904391837,1.23765788106435,0.002011809374833806,0.4,-0.0010850694444441977,-0.000564236111111116,-0.0023003472222221655,-0.0028211805555555802,-0.005815972222222188
design-0020,0,1.7497601551169173,1.3082128920881657,0.10372141153704839,0.0719559624202463,0.30378821340951523,0.1304461265620135,-0.6439480970511484,0.6930758525386591,0.9167361111111113,0.9149739583333332,0.0017621527777777867,-0.0013891059027777836,0.006112413194444454,1.2400822801756204,1.2381062579374569,0.0019760222381635106,0.35,0.003472222222222099,0.0043836805555557135,0.003776041666666563,0.0004774305555554914,-0.0032986111111109606
design-0021,0,1.2321378346259568,1.9672692277760435,0.26361173908837887,0.10235722841063125,0.38859209830849994,0.3655557757550165,0.21912069697319425,1.1656592160971666,0.9126822916666667,0.911440972222222,0.0012413194444444663,-0.0006601562499999806,0.0029867621527777857,1.2408476861483078,1.2413488353525692,-0.0005011492042614751,0.7,0.0020399305555554026,0.0021267361111112493,-0.001388888888888773,-0.001388888888888884,0.0048177083333332815
design-0022,0,1.3241058837998634,0.8782798264247836,0.0018932285521773772,0.1460500231379621,0.23526271852756006,0.24113612719535704,-0.2779870781479241,1.2845083880702564,0.9143229166666668,0.9138368055555552,0.00048611111111111495,-0.001901258680555547,0.002977647569444448,1.23922787452176,1.239269414654073,-4.154013231305598e-05,0.3,0.0010850694444440867,0.006597222222222143,0.0017795138888888618,0.0009548611111110938,-0.007986111111111138
design-0023,0,1.4590664748173938,1.0691953828626533,0.1766312785946789,0.035989893026405005,0.10400532719778419,0.6990170311589219,-0.5287939299961952,1.410031611350988,0.9157812499999999,0.88640625,0.029375000000000023,0.01836740451388892,0.040547309027777825,1.2392776924916309,1.2396595888795898,-0.00038189638795893543,0.8,0.02126736111111116,0.019444444444444597,0.017925347222222165,0.03684895833333335,0.05138888888888893
